r_Ang,E_FCI_Ha
0.10000000,2.51184344
0.20000000,0.02170656
0.30000000,-0.69285983
0.40000000,-0.97679797
0.50000000,-1.10086969
0.60000000,-1.15351794
0.70000000,-1.17101460
0.80000000,-1.17040626
0.90000000,-1.16041281
1.00000000,-1.14575885
1.10000000,-1.12911991
1.20000000,-1.11206758
1.30000000,-1.09554906
1.40000000,-1.08013772
1.50000000,-1.06616837
1.60000000,-1.05381343
1.70000000,-1.04312824
1.80000000,-1.03408016
1.90000000,-1.02657065
2.00000000,-1.02045501
2.10000000,-1.01556126
2.20000000,-1.01170740
2.30000000,-1.00871536
2.40000000,-1.00642097
2.50000000,-1.00467984
2.60000000,-1.00336980
2.70000000,-1.00239076
2.80000000,-1.00166287
2.90000000,-1.00112383
3.00000000,-1.00072581
3.10000000,-1.00043258
3.20000000,-1.00021697
3.30000000,-1.00005870
3.40000000,-0.99994269
3.50000000,-0.99985779
3.60000000,-0.99979571
3.70000000,-0.99975033
3.80000000,-0.99971716
3.90000000,-0.99969288
4.00000000,-0.99967505
