alpha,beta,omega,J_value
0.01,0.01,0.05,0.1091534838415458
0.01,0.01,0.0736842105263158,0.1574011010721511
0.01,0.01,0.09736842105263158,0.15611710728487693
0.01,0.01,0.12105263157894737,0.10930849162636422
0.01,0.01,0.14473684210526316,0.15987167964050758
0.01,0.01,0.16842105263157897,0.14413890838993348
0.01,0.01,0.19210526315789472,0.15831781094096525
0.01,0.01,0.21578947368421053,0.10965412544684096
0.01,0.01,0.23947368421052634,0.15906846731764876
0.01,0.01,0.2631578947368421,0.10979148787754564
0.01,0.01,0.2868421052631579,0.11112212246146158
0.01,0.01,0.3105263157894737,0.11054215274074425
0.01,0.01,0.33421052631578946,0.1112522274533784
0.01,0.01,0.35789473684210527,0.13202222285699594
0.01,0.01,0.3815789473684211,0.15305947743981838
0.01,0.01,0.4052631578947368,0.16072289486408997
0.01,0.01,0.42894736842105263,0.11292431413219
0.01,0.01,0.45263157894736844,0.11076143902687563
0.01,0.01,0.4763157894736842,0.16033600912826207
0.01,0.01,0.5,0.1127468388918069
0.01,0.056842105263157895,0.05,0.09792524760908788
0.01,0.056842105263157895,0.0736842105263158,0.09856147740683038
0.01,0.056842105263157895,0.09736842105263158,0.09918155070295061
0.01,0.056842105263157895,0.12105263157894737,0.0997810827482593
0.01,0.056842105263157895,0.14473684210526316,0.10035674496644025
0.01,0.056842105263157895,0.16842105263157897,0.1009062600408946
0.01,0.056842105263157895,0.19210526315789472,0.10142830724854096
0.01,0.056842105263157895,0.21578947368421053,0.10192237446320965
0.01,0.056842105263157895,0.23947368421052634,0.10238859108547856
0.01,0.056842105263157895,0.2631578947368421,0.10282757037448395
0.01,0.056842105263157895,0.2868421052631579,0.10324023477146593
0.01,0.056842105263157895,0.3105263157894737,0.1046965879745866
0.01,0.056842105263157895,0.33421052631578946,0.15196015960175666
0.01,0.056842105263157895,0.35789473684210527,0.10560184495909551
0.01,0.056842105263157895,0.3815789473684211,0.15174356845958595
0.01,0.056842105263157895,0.4052631578947368,0.1509246648459114
0.01,0.056842105263157895,0.42894736842105263,0.10605060346575473
0.01,0.056842105263157895,0.45263157894736844,0.15205447118939663
0.01,0.056842105263157895,0.4763157894736842,0.15369800548337087
0.01,0.056842105263157895,0.5,0.10604447882705868
0.01,0.10368421052631578,0.05,0.08772899101356808
0.01,0.10368421052631578,0.0736842105263158,0.08883052405114425
0.01,0.10368421052631578,0.09736842105263158,0.0899072822695935
0.01,0.10368421052631578,0.12105263157894737,0.09095129701560761
0.01,0.10368421052631578,0.14473684210526316,0.0919563847131379
0.01,0.10368421052631578,0.16842105263157897,0.09291817497042452
0.01,0.10368421052631578,0.19210526315789472,0.09383397436320742
0.01,0.10368421052631578,0.21578947368421053,0.0947025277326847
0.01,0.10368421052631578,0.23947368421052634,0.09552373641271429
0.01,0.10368421052631578,0.2631578947368421,0.09629837881117607
0.01,0.10368421052631578,0.2868421052631579,0.09702786125016596
0.01,0.10368421052631578,0.3105263157894737,0.09771401158799872
0.01,0.10368421052631578,0.33421052631578946,0.09835891727455248
0.01,0.10368421052631578,0.35789473684210527,0.09896480351732084
0.01,0.10368421052631578,0.3815789473684211,0.09953394462922097
0.01,0.10368421052631578,0.4052631578947368,0.10006860142766813
0.01,0.10368421052631578,0.42894736842105263,0.10057097836273983
0.01,0.10368421052631578,0.45263157894736844,0.10104319525690887
0.01,0.10368421052631578,0.4763157894736842,0.10148726971132362
0.01,0.10368421052631578,0.5,0.1019051072243975
0.01,0.15052631578947367,0.05,0.07806830957583578
0.01,0.15052631578947367,0.0736842105263158,0.07958157726271356
0.01,0.15052631578947367,0.09736842105263158,0.0810657196740833
0.01,0.15052631578947367,0.12105263157894737,0.08250921248618776
0.01,0.15052631578947367,0.14473684210526316,0.08390291534891445
0.01,0.15052631578947367,0.16842105263157897,0.08524016695824743
0.01,0.15052631578947367,0.19210526315789472,0.08651664090833563
